FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Accessoires fumeurs;2/6/2025;10;20,0%;27,40 €;22,82 €
Articles Divers Logista 20%;2/6/2025;24;20,0%;218,00 €;181,66 €
Bar 10%;2/6/2025;145;10,0%;227,10 €;206,29 €
Bar 20%;2/6/2025;150;20,0%;455,30 €;379,45 €
Boissons à emporter;2/6/2025;3;5,5%;7,50 €;7,11 €
Briquets;2/6/2025;9;20,0%;15,90 €;13,28 €
Chewing Gum;2/6/2025;5;20,0%;12,00 €;10,00 €
Cigarettes Electroniques;2/6/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;2/6/2025;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;2/6/2025;2;5,5%;0,70 €;0,66 €
Jeux instantanés;2/6/2025;266;0,0%;1 157,00 €;1 157,00 €
Loto;2/6/2025;97;0,0%;910,80 €;910,80 €
MONETIQUE 0 %;2/6/2025;6;0,0%;815,00 €;815,00 €
Papier tubes et filtres;2/6/2025;49;20,0%;88,50 €;73,77 €
Tabac;2/6/2025;495;0,0%;6 642,75 €;6 642,75 €
Timbres poste;2/6/2025;26;0,0%;36,14 €;36,14 €
 paiement proximite;3/6/2025;1;0,0%;30,00 €;30,00 €
Accessoires fumeurs;3/6/2025;5;20,0%;16,10 €;13,42 €
Articles Divers Logista 20%;3/6/2025;12;20,0%;80,80 €;67,33 €
Bar 10%;3/6/2025;177;10,0%;306,10 €;278,10 €
Bar 20%;3/6/2025;164;20,0%;533,20 €;444,29 €
Boissons à emporter;3/6/2025;8;5,5%;18,00 €;17,06 €
Briquets;3/6/2025;5;20,0%;9,40 €;7,84 €
Chewing Gum;3/6/2025;3;20,0%;5,80 €;4,83 €
Cigarettes Electroniques;3/6/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;3/6/2025;1;20,0%;1,30 €;1,08 €
Confiserie 5,5%;3/6/2025;3;5,5%;3,90 €;3,70 €
Jeux instantanés;3/6/2025;539;0,0%;2 319,00 €;2 319,00 €
Loto;3/6/2025;130;0,0%;1 255,40 €;1 255,40 €
MONETIQUE 0 %;3/6/2025;4;0,0%;400,00 €;400,00 €
Papier tubes et filtres;3/6/2025;37;20,0%;71,30 €;59,43 €
Tabac;3/6/2025;361;0,0%;4 776,45 €;4 776,45 €
TELEPHONIE 20.00 %;3/6/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;3/6/2025;10;0,0%;44,48 €;44,48 €
Accessoires fumeurs;4/6/2025;2;20,0%;5,60 €;4,66 €
Articles Divers Logista 20%;4/6/2025;9;20,0%;91,00 €;75,83 €
Bar 10%;4/6/2025;152;10,0%;207,10 €;188,13 €
Bar 20%;4/6/2025;139;20,0%;375,10 €;312,57 €
Boissons à emporter;4/6/2025;7;5,5%;16,50 €;15,64 €
Briquets;4/6/2025;5;20,0%;8,80 €;7,35 €
Chewing Gum;4/6/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;4/6/2025;5;20,0%;24,00 €;20,00 €
Confiserie 5,5%;4/6/2025;4;5,5%;6,40 €;6,08 €
Jeux instantanés;4/6/2025;375;0,0%;1 629,00 €;1 629,00 €
Loto;4/6/2025;73;0,0%;989,60 €;989,60 €
MONETIQUE 0 %;4/6/2025;2;0,0%;273,00 €;273,00 €
Papier tubes et filtres;4/6/2025;43;20,0%;82,30 €;68,63 €
Tabac;4/6/2025;307;0,0%;4 187,15 €;4 187,15 €
Timbres poste;4/6/2025;10;0,0%;13,90 €;13,90 €
Accessoires fumeurs;5/6/2025;3;20,0%;9,50 €;7,91 €
Articles Divers Logista 20%;5/6/2025;6;20,0%;60,50 €;50,41 €
Bar 10%;5/6/2025;147;10,0%;211,00 €;191,73 €
Bar 20%;5/6/2025;248;20,0%;672,60 €;560,43 €
Boissons à emporter;5/6/2025;5;5,5%;12,50 €;11,85 €
Briquets;5/6/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;5/6/2025;4;20,0%;7,50 €;6,25 €
Confiserie 20%;5/6/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;5/6/2025;5;5,5%;9,20 €;8,73 €
Jeux instantanés;5/6/2025;313;0,0%;1 186,00 €;1 186,00 €
Loto;5/6/2025;67;0,0%;632,90 €;632,90 €
MONETIQUE 0 %;5/6/2025;3;0,0%;150,00 €;150,00 €
Papier tubes et filtres;5/6/2025;33;20,0%;59,30 €;49,45 €
Tabac;5/6/2025;302;0,0%;4 245,10 €;4 245,10 €
TELEPHONIE 20.00 %;5/6/2025;1;20,0%;16,99 €;14,16 €
Timbres poste;5/6/2025;4;0,0%;5,56 €;5,56 €
 paiement proximite;6/6/2025;2;0,0%;169,43 €;169,43 €
Accessoires fumeurs;6/6/2025;11;20,0%;30,20 €;25,17 €
Articles Divers Logista 20%;6/6/2025;28;20,0%;225,10 €;187,59 €
Bar 10%;6/6/2025;172;10,0%;297,60 €;270,38 €
Bar 20%;6/6/2025;243;20,0%;711,00 €;592,50 €
Boissons à emporter;6/6/2025;8;5,5%;16,00 €;15,17 €
Briquets;6/6/2025;8;20,0%;14,20 €;11,86 €
Chewing Gum;6/6/2025;4;20,0%;8,80 €;7,33 €
Cigarettes Electroniques;6/6/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;6/6/2025;1;20,0%;1,30 €;1,08 €
Confiserie 5,5%;6/6/2025;4;5,5%;7,50 €;7,12 €
Jeux instantanés;6/6/2025;383;0,0%;1 499,00 €;1 499,00 €
Loto;6/6/2025;193;0,0%;1 945,60 €;1 945,60 €
MONETIQUE 0 %;6/6/2025;4;0,0%;145,00 €;145,00 €
Papier tubes et filtres;6/6/2025;54;20,0%;100,20 €;83,54 €
Tabac;6/6/2025;559;0,0%;7 499,75 €;7 499,75 €
Timbres poste;6/6/2025;7;0,0%;40,31 €;40,31 €
Accessoires fumeurs;7/6/2025;13;20,0%;38,60 €;32,18 €
Articles Divers Logista 20%;7/6/2025;19;20,0%;158,20 €;131,82 €
Bar 10%;7/6/2025;148;10,0%;220,50 €;200,30 €
Bar 20%;7/6/2025;178;20,0%;538,30 €;448,54 €
Boissons à emporter;7/6/2025;3;5,5%;6,50 €;6,16 €
Briquets;7/6/2025;9;20,0%;15,90 €;13,27 €
Chewing Gum;7/6/2025;6;20,0%;13,50 €;11,25 €
Confiserie 20%;7/6/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;7/6/2025;5;5,5%;9,40 €;8,92 €
Jeux instantanés;7/6/2025;350;0,0%;1 353,00 €;1 353,00 €
Loto;7/6/2025;59;0,0%;654,00 €;654,00 €
MONETIQUE 0 %;7/6/2025;10;0,0%;743,00 €;743,00 €
Papier tubes et filtres;7/6/2025;66;20,0%;114,90 €;95,78 €
Tabac;7/6/2025;452;0,0%;6 326,20 €;6 326,20 €
TELEPHONIE 20.00 %;7/6/2025;2;20,0%;19,98 €;16,66 €
Accessoires fumeurs;8/6/2025;5;20,0%;12,60 €;10,50 €
Articles Divers Logista 20%;8/6/2025;2;20,0%;18,00 €;15,00 €
Bar 10%;8/6/2025;170;10,0%;283,40 €;257,49 €
Bar 20%;8/6/2025;151;20,0%;449,70 €;374,70 €
Boissons à emporter;8/6/2025;5;5,5%;12,50 €;11,85 €
Briquets;8/6/2025;6;20,0%;10,50 €;8,77 €
Chewing Gum;8/6/2025;5;20,0%;7,30 €;6,08 €
Cigarettes Electroniques;8/6/2025;4;20,0%;19,20 €;16,00 €
Confiserie 5,5%;8/6/2025;7;5,5%;7,00 €;6,64 €
Jeux instantanés;8/6/2025;267;0,0%;1 105,00 €;1 105,00 €
Loto;8/6/2025;54;0,0%;669,70 €;669,70 €
MONETIQUE 0 %;8/6/2025;5;0,0%;270,00 €;270,00 €
Papier tubes et filtres;8/6/2025;41;20,0%;72,60 €;60,53 €
Tabac;8/6/2025;307;0,0%;4 200,55 €;4 200,55 €
Timbres poste;8/6/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;9/6/2025;10;20,0%;28,80 €;24,00 €
Articles Divers Logista 20%;9/6/2025;6;20,0%;84,00 €;69,99 €
Bar 10%;9/6/2025;141;10,0%;244,70 €;222,30 €
Bar 20%;9/6/2025;234;20,0%;653,40 €;544,49 €
Boissons à emporter;9/6/2025;17;5,5%;42,50 €;40,29 €
Briquets;9/6/2025;4;20,0%;6,80 €;5,68 €
Chewing Gum;9/6/2025;1;20,0%;1,50 €;1,25 €
Confiserie 5,5%;9/6/2025;2;5,5%;4,00 €;3,80 €
Jeux instantanés;9/6/2025;452;0,0%;1 956,00 €;1 956,00 €
Loto;9/6/2025;107;0,0%;1 682,50 €;1 682,50 €
MONETIQUE 0 %;9/6/2025;2;0,0%;64,00 €;64,00 €
Papier tubes et filtres;9/6/2025;41;20,0%;79,80 €;66,52 €
Tabac;9/6/2025;372;0,0%;5 081,85 €;5 081,85 €
Timbres poste;9/6/2025;1;0,0%;16,68 €;16,68 €
Accessoires fumeurs;10/6/2025;7;20,0%;15,40 €;12,83 €
Articles Divers Logista 20%;10/6/2025;14;20,0%;118,00 €;98,33 €
Bar 10%;10/6/2025;184;10,0%;328,90 €;298,76 €
Bar 20%;10/6/2025;227;20,0%;656,60 €;547,21 €
Boissons à emporter;10/6/2025;6;5,5%;14,00 €;13,27 €
Briquets;10/6/2025;7;20,0%;12,80 €;10,69 €
Chewing Gum;10/6/2025;2;20,0%;6,00 €;5,00 €
Confiserie 5,5%;10/6/2025;5;5,5%;9,90 €;9,40 €
Jeux instantanés;10/6/2025;313;0,0%;1 315,00 €;1 315,00 €
Loto;10/6/2025;126;0,0%;1 330,80 €;1 330,80 €
Papier tubes et filtres;10/6/2025;54;20,0%;91,30 €;76,09 €
Tabac;10/6/2025;443;0,0%;6 207,45 €;6 207,45 €
Timbres poste;10/6/2025;6;0,0%;23,63 €;23,63 €
 paiement proximite;11/6/2025;3;0,0%;342,35 €;342,35 €
Accessoires fumeurs;11/6/2025;10;20,0%;31,30 €;26,09 €
Articles Divers Logista 20%;11/6/2025;8;20,0%;64,00 €;53,33 €
Bar 10%;11/6/2025;164;10,0%;289,90 €;263,42 €
Bar 20%;11/6/2025;221;20,0%;596,40 €;496,95 €
Boissons à emporter;11/6/2025;9;5,5%;19,50 €;18,48 €
Briquets;11/6/2025;9;20,0%;15,90 €;13,28 €
Confiserie 5,5%;11/6/2025;2;5,5%;3,20 €;3,04 €
Jeux instantanés;11/6/2025;306;0,0%;1 276,00 €;1 276,00 €
Loto;11/6/2025;89;0,0%;753,70 €;753,70 €
MONETIQUE 0 %;11/6/2025;2;0,0%;31,50 €;31,50 €
Papier tubes et filtres;11/6/2025;27;20,0%;50,30 €;41,93 €
Tabac;11/6/2025;348;0,0%;4 739,55 €;4 739,55 €
Timbres poste;11/6/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;12/6/2025;2;0,0%;204,49 €;204,49 €
Accessoires fumeurs;12/6/2025;14;20,0%;41,10 €;34,24 €
Articles Divers Logista 20%;12/6/2025;12;20,0%;125,50 €;104,58 €
Bar 10%;12/6/2025;175;10,0%;310,40 €;282,06 €
Bar 20%;12/6/2025;222;20,0%;667,90 €;556,51 €
Boissons à emporter;12/6/2025;15;5,5%;36,50 €;34,60 €
Briquets;12/6/2025;7;20,0%;12,50 €;10,44 €
Chewing Gum;12/6/2025;3;20,0%;5,80 €;4,83 €
Jeux instantanés;12/6/2025;292;0,0%;1 389,00 €;1 389,00 €
Loto;12/6/2025;109;0,0%;1 105,80 €;1 105,80 €
MONETIQUE 0 %;12/6/2025;2;0,0%;157,00 €;157,00 €
Papier tubes et filtres;12/6/2025;53;20,0%;92,60 €;77,17 €
Tabac;12/6/2025;369;0,0%;4 926,05 €;4 926,05 €
Timbres poste;12/6/2025;4;0,0%;36,14 €;36,14 €
Accessoires fumeurs;13/6/2025;2;20,0%;7,00 €;5,83 €
Articles Divers Logista 20%;13/6/2025;10;20,0%;111,00 €;92,49 €
Bar 10%;13/6/2025;193;10,0%;332,90 €;302,43 €
Bar 20%;13/6/2025;284;20,0%;814,30 €;678,63 €
Boissons à emporter;13/6/2025;8;5,5%;19,00 €;18,01 €
Briquets;13/6/2025;11;20,0%;20,50 €;17,12 €
Chewing Gum;13/6/2025;1;20,0%;1,30 €;1,08 €
Cigarettes Electroniques;13/6/2025;6;20,0%;28,80 €;24,00 €
Confiserie 20%;13/6/2025;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;13/6/2025;1;5,5%;1,70 €;1,61 €
Jeux instantanés;13/6/2025;563;0,0%;2 470,00 €;2 470,00 €
Loto;13/6/2025;229;0,0%;2 355,00 €;2 355,00 €
MONETIQUE 0 %;13/6/2025;1;0,0%;54,00 €;54,00 €
Papier tubes et filtres;13/6/2025;54;20,0%;99,10 €;82,61 €
Tabac;13/6/2025;427;0,0%;5 979,45 €;5 979,45 €
Timbres poste;13/6/2025;2;0,0%;18,07 €;18,07 €
 paiement proximite;14/6/2025;1;0,0%;37,80 €;37,80 €
Accessoires fumeurs;14/6/2025;5;20,0%;16,20 €;13,50 €
Articles Divers Logista 20%;14/6/2025;26;20,0%;244,00 €;203,33 €
Bar 10%;14/6/2025;163;10,0%;267,70 €;243,18 €
Bar 20%;14/6/2025;180;20,0%;467,00 €;389,18 €
Boissons à emporter;14/6/2025;11;5,5%;25,50 €;24,17 €
Briquets;14/6/2025;11;20,0%;19,60 €;16,37 €
Chewing Gum;14/6/2025;3;20,0%;7,50 €;6,25 €
Confiserie 20%;14/6/2025;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;14/6/2025;1;5,5%;1,80 €;1,71 €
Jeux instantanés;14/6/2025;320;0,0%;1 282,00 €;1 282,00 €
Loto;14/6/2025;82;0,0%;683,20 €;683,20 €
Papier tubes et filtres;14/6/2025;63;20,0%;116,10 €;96,79 €
Tabac;14/6/2025;533;0,0%;7 307,90 €;7 307,90 €
Timbres poste;14/6/2025;1;0,0%;16,68 €;16,68 €
Accessoires fumeurs;15/6/2025;2;20,0%;6,70 €;5,58 €
Articles Divers Logista 20%;15/6/2025;1;20,0%;19,00 €;15,83 €
Bar 10%;15/6/2025;153;10,0%;224,50 €;203,92 €
Bar 20%;15/6/2025;163;20,0%;384,10 €;320,07 €
Boissons à emporter;15/6/2025;9;5,5%;22,50 €;21,33 €
Briquets;15/6/2025;9;20,0%;16,80 €;14,02 €
Chewing Gum;15/6/2025;7;20,0%;16,80 €;14,00 €
Confiserie 20%;15/6/2025;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;15/6/2025;8;5,5%;13,80 €;13,09 €
Jeux instantanés;15/6/2025;377;0,0%;1 636,00 €;1 636,00 €
Loto;15/6/2025;72;0,0%;777,20 €;777,20 €
Papier tubes et filtres;15/6/2025;34;20,0%;55,40 €;46,19 €
Tabac;15/6/2025;293;0,0%;4 005,95 €;4 005,95 €
TELEPHONIE 20.00 %;15/6/2025;2;20,0%;19,99 €;16,66 €
Timbres poste;15/6/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;16/6/2025;2;0,0%;90,00 €;90,00 €
Accessoires fumeurs;16/6/2025;11;20,0%;32,10 €;26,74 €
Articles Divers Logista 20%;16/6/2025;5;20,0%;41,50 €;34,58 €
Bar 10%;16/6/2025;167;10,0%;283,60 €;257,65 €
Bar 20%;16/6/2025;131;20,0%;464,50 €;387,11 €
Boissons à emporter;16/6/2025;1;5,5%;2,50 €;2,37 €
Briquets;16/6/2025;5;20,0%;9,10 €;7,60 €
Chocolat 5,5%;16/6/2025;1;5,5%;2,80 €;2,65 €
Confiserie 5,5%;16/6/2025;2;5,5%;4,80 €;4,55 €
Jeux instantanés;16/6/2025;260;0,0%;919,00 €;919,00 €
Loto;16/6/2025;71;0,0%;915,60 €;915,60 €
MONETIQUE 0 %;16/6/2025;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;16/6/2025;59;20,0%;96,40 €;80,37 €
Tabac;16/6/2025;452;0,0%;6 113,35 €;6 113,35 €
Timbres poste;16/6/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;17/6/2025;6;20,0%;15,10 €;12,58 €
Articles Divers Logista 20%;17/6/2025;5;20,0%;54,00 €;45,00 €
Bar 10%;17/6/2025;143;10,0%;214,30 €;194,67 €
Bar 20%;17/6/2025;150;20,0%;437,40 €;364,48 €
Boissons à emporter;17/6/2025;16;5,5%;39,00 €;36,97 €
Briquets;17/6/2025;4;20,0%;7,10 €;5,93 €
Chewing Gum;17/6/2025;4;20,0%;7,00 €;5,83 €
Cigarettes Electroniques;17/6/2025;1;20,0%;4,80 €;4,00 €
Confiserie 5,5%;17/6/2025;2;5,5%;4,70 €;4,45 €
Jeux instantanés;17/6/2025;258;0,0%;1 103,00 €;1 103,00 €
Loto;17/6/2025;125;0,0%;1 655,80 €;1 655,80 €
MONETIQUE 0 %;17/6/2025;3;0,0%;310,00 €;310,00 €
Papier tubes et filtres;17/6/2025;48;20,0%;85,80 €;71,51 €
Tabac;17/6/2025;352;0,0%;4 862,05 €;4 862,05 €
Timbres poste;17/6/2025;4;0,0%;20,85 €;20,85 €
 paiement proximite;18/6/2025;3;0,0%;192,46 €;192,46 €
Accessoires fumeurs;18/6/2025;7;20,0%;22,80 €;18,98 €
Articles Divers Logista 20%;18/6/2025;4;20,0%;46,00 €;38,33 €
Bar 10%;18/6/2025;150;10,0%;236,70 €;215,04 €
Bar 20%;18/6/2025;180;20,0%;470,20 €;391,82 €
Boissons à emporter;18/6/2025;10;5,5%;23,00 €;21,80 €
Briquets;18/6/2025;5;20,0%;9,10 €;7,60 €
Chewing Gum;18/6/2025;2;20,0%;3,00 €;2,50 €
Confiserie 20%;18/6/2025;3;20,0%;4,70 €;3,92 €
Confiserie 5,5%;18/6/2025;3;5,5%;4,90 €;4,65 €
E-BUSINESS 0 %;18/6/2025;1;0,0%;20,00 €;20,00 €
Jeux instantanés;18/6/2025;240;0,0%;977,00 €;977,00 €
Loto;18/6/2025;44;0,0%;393,50 €;393,50 €
MONETIQUE 0 %;18/6/2025;1;0,0%;50,00 €;50,00 €
Papier tubes et filtres;18/6/2025;36;20,0%;59,40 €;49,53 €
Tabac;18/6/2025;348;0,0%;4 791,05 €;4 791,05 €
TELEPHONIE 20.00 %;18/6/2025;1;20,0%;5,00 €;4,17 €
 paiement proximite;19/6/2025;2;0,0%;57,00 €;57,00 €
Accessoires fumeurs;19/6/2025;1;20,0%;3,90 €;3,25 €
Articles Divers Logista 20%;19/6/2025;9;20,0%;70,10 €;58,42 €
Bar 10%;19/6/2025;152;10,0%;260,00 €;236,22 €
Bar 20%;19/6/2025;206;20,0%;580,50 €;483,76 €
Boissons à emporter;19/6/2025;2;5,5%;5,00 €;4,74 €
Briquets;19/6/2025;5;20,0%;8,80 €;7,35 €
Chewing Gum;19/6/2025;3;20,0%;5,60 €;4,66 €
Confiserie 20%;19/6/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;19/6/2025;1;5,5%;2,00 €;1,90 €
Jeux instantanés;19/6/2025;277;0,0%;1 222,00 €;1 222,00 €
Loto;19/6/2025;52;0,0%;581,50 €;581,50 €
MONETIQUE 0 %;19/6/2025;3;0,0%;70,00 €;70,00 €
Papier tubes et filtres;19/6/2025;23;20,0%;42,70 €;35,61 €
Tabac;19/6/2025;451;0,0%;5 913,95 €;5 913,95 €
Timbres poste;19/6/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;20/6/2025;1;0,0%;98,34 €;98,34 €
Accessoires fumeurs;20/6/2025;9;20,0%;27,10 €;22,58 €
Articles Divers Logista 20%;20/6/2025;23;20,0%;192,20 €;160,16 €
Bar 10%;20/6/2025;161;10,0%;282,20 €;256,36 €
Bar 20%;20/6/2025;213;20,0%;581,20 €;484,31 €
Boissons à emporter;20/6/2025;3;5,5%;6,50 €;6,16 €
Briquets;20/6/2025;5;20,0%;8,50 €;7,10 €
Chewing Gum;20/6/2025;4;20,0%;6,00 €;5,00 €
Chocolat 5,5%;20/6/2025;1;5,5%;2,80 €;2,65 €
Confiserie 5,5%;20/6/2025;7;5,5%;15,60 €;14,80 €
Jeux instantanés;20/6/2025;309;0,0%;1 293,00 €;1 293,00 €
Loto;20/6/2025;78;0,0%;544,10 €;544,10 €
MONETIQUE 0 %;20/6/2025;2;0,0%;45,00 €;45,00 €
Papier tubes et filtres;20/6/2025;39;20,0%;76,40 €;63,71 €
Tabac;20/6/2025;492;0,0%;6 583,45 €;6 583,45 €
Timbres poste;20/6/2025;19;0,0%;26,41 €;26,41 €
Accessoires fumeurs;21/6/2025;11;20,0%;30,80 €;25,67 €
Articles Divers Logista 20%;21/6/2025;14;20,0%;123,50 €;102,91 €
Bar 10%;21/6/2025;153;10,0%;271,40 €;246,55 €
Bar 20%;21/6/2025;131;20,0%;504,20 €;420,18 €
Boissons à emporter;21/6/2025;12;5,5%;26,00 €;24,65 €
Briquets;21/6/2025;12;20,0%;20,70 €;17,29 €
Chewing Gum;21/6/2025;3;20,0%;6,00 €;5,00 €
Cigarettes Electroniques;21/6/2025;1;20,0%;4,80 €;4,00 €
Confiserie 5,5%;21/6/2025;9;5,5%;15,30 €;14,51 €
Jeux instantanés;21/6/2025;399;0,0%;1 763,00 €;1 763,00 €
Loto;21/6/2025;57;0,0%;386,50 €;386,50 €
MONETIQUE 0 %;21/6/2025;8;0,0%;1 430,00 €;1 430,00 €
Papier tubes et filtres;21/6/2025;46;20,0%;84,40 €;70,39 €
Tabac;21/6/2025;446;0,0%;6 106,50 €;6 106,50 €
TELEPHONIE 20.00 %;21/6/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;21/6/2025;7;0,0%;25,02 €;25,02 €
Accessoires fumeurs;22/6/2025;6;20,0%;19,80 €;16,50 €
Articles Divers Logista 20%;22/6/2025;8;20,0%;57,20 €;47,66 €
Bar 10%;22/6/2025;163;10,0%;305,80 €;277,81 €
Bar 20%;22/6/2025;135;20,0%;469,00 €;390,83 €
Boissons à emporter;22/6/2025;18;5,5%;42,00 €;39,81 €
Briquets;22/6/2025;6;20,0%;11,40 €;9,52 €
Chewing Gum;22/6/2025;2;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;22/6/2025;7;20,0%;33,60 €;28,00 €
Confiserie 5,5%;22/6/2025;3;5,5%;4,60 €;4,37 €
Jeux instantanés;22/6/2025;343;0,0%;1 453,00 €;1 453,00 €
Loto;22/6/2025;60;0,0%;588,30 €;588,30 €
MONETIQUE 0 %;22/6/2025;1;0,0%;50,00 €;50,00 €
Papier tubes et filtres;22/6/2025;38;20,0%;68,00 €;56,67 €
Tabac;22/6/2025;323;0,0%;4 391,15 €;4 391,15 €
Accessoires fumeurs;23/6/2025;9;20,0%;26,00 €;21,67 €
Articles Divers Logista 20%;23/6/2025;8;20,0%;78,50 €;65,41 €
Bar 10%;23/6/2025;160;10,0%;256,80 €;233,27 €
Bar 20%;23/6/2025;209;20,0%;622,20 €;518,51 €
Boissons à emporter;23/6/2025;11;5,5%;25,50 €;24,17 €
Briquets;23/6/2025;7;20,0%;12,20 €;10,19 €
Chewing Gum;23/6/2025;5;20,0%;10,30 €;8,58 €
Cigarettes Electroniques;23/6/2025;2;20,0%;9,60 €;8,00 €
Confiserie 5,5%;23/6/2025;9;5,5%;17,60 €;16,70 €
Jeux instantanés;23/6/2025;195;0,0%;813,00 €;813,00 €
Loto;23/6/2025;60;0,0%;682,90 €;682,90 €
MONETIQUE 0 %;23/6/2025;2;0,0%;45,00 €;45,00 €
Papier tubes et filtres;23/6/2025;58;20,0%;101,10 €;84,28 €
Tabac;23/6/2025;558;0,0%;7 648,60 €;7 648,60 €
Timbres poste;23/6/2025;9;0,0%;12,51 €;12,51 €
Accessoires fumeurs;24/6/2025;12;20,0%;34,20 €;28,49 €
Articles Divers Logista 20%;24/6/2025;6;20,0%;64,00 €;53,33 €
Bar 10%;24/6/2025;131;10,0%;223,90 €;203,37 €
Bar 20%;24/6/2025;180;20,0%;463,00 €;385,81 €
Boissons à emporter;24/6/2025;3;5,5%;5,50 €;5,21 €
Briquets;24/6/2025;4;20,0%;7,10 €;5,93 €
Chewing Gum;24/6/2025;3;20,0%;4,10 €;3,41 €
Cigarettes Electroniques;24/6/2025;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;24/6/2025;2;5,5%;3,40 €;3,22 €
Jeux instantanés;24/6/2025;261;0,0%;1 051,00 €;1 051,00 €
Loto;24/6/2025;76;0,0%;991,80 €;991,80 €
MONETIQUE 0 %;24/6/2025;6;0,0%;566,00 €;566,00 €
Papier tubes et filtres;24/6/2025;49;20,0%;85,00 €;70,88 €
Tabac;24/6/2025;420;0,0%;5 679,90 €;5 679,90 €
TELEPHONIE 20.00 %;24/6/2025;1;20,0%;5,00 €;4,17 €
Timbres poste;24/6/2025;5;0,0%;6,95 €;6,95 €
Accessoires fumeurs;25/6/2025;8;20,0%;23,50 €;19,58 €
Articles Divers Logista 20%;25/6/2025;5;20,0%;45,00 €;37,50 €
Articles Divers Logista 5,5%;25/6/2025;1;5,5%;1,00 €;0,95 €
Bar 10%;25/6/2025;116;10,0%;147,70 €;134,19 €
Bar 20%;25/6/2025;212;20,0%;503,70 €;419,72 €
Boissons à emporter;25/6/2025;12;5,5%;29,00 €;27,49 €
Briquets;25/6/2025;8;20,0%;13,60 €;11,35 €
Cigarettes Electroniques;25/6/2025;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;25/6/2025;3;5,5%;2,80 €;2,66 €
Jeux instantanés;25/6/2025;238;0,0%;994,00 €;994,00 €
Loto;25/6/2025;57;0,0%;724,10 €;724,10 €
Papier tubes et filtres;25/6/2025;59;20,0%;105,70 €;88,14 €
Tabac;25/6/2025;387;0,0%;5 380,40 €;5 380,40 €
Timbres poste;25/6/2025;4;0,0%;20,85 €;20,85 €
 paiement proximite;26/6/2025;1;0,0%;90,00 €;90,00 €
Accessoires fumeurs;26/6/2025;8;20,0%;23,70 €;19,74 €
Articles Divers Logista 20%;26/6/2025;19;20,0%;191,00 €;159,16 €
Bar 10%;26/6/2025;104;10,0%;139,70 €;126,91 €
Bar 20%;26/6/2025;184;20,0%;453,10 €;377,58 €
Boissons à emporter;26/6/2025;5;5,5%;12,50 €;11,85 €
Briquets;26/6/2025;9;20,0%;15,90 €;13,28 €
Chewing Gum;26/6/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;26/6/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;26/6/2025;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;26/6/2025;4;5,5%;5,70 €;5,40 €
Jeux instantanés;26/6/2025;386;0,0%;1 788,00 €;1 788,00 €
Loto;26/6/2025;52;0,0%;570,90 €;570,90 €
MONETIQUE 0 %;26/6/2025;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;26/6/2025;45;20,0%;74,00 €;61,71 €
Tabac;26/6/2025;403;0,0%;5 586,05 €;5 586,05 €
Timbres poste;26/6/2025;3;0,0%;19,46 €;19,46 €
Accessoires fumeurs;27/6/2025;6;20,0%;21,40 €;17,83 €
Articles Divers Logista 20%;27/6/2025;16;20,0%;137,35 €;114,46 €
Articles Divers Logista 5,5%;27/6/2025;1;5,5%;9,90 €;9,38 €
Bar 10%;27/6/2025;156;10,0%;274,30 €;249,19 €
Bar 20%;27/6/2025;201;20,0%;512,30 €;426,91 €
Boissons à emporter;27/6/2025;13;5,5%;30,50 €;28,91 €
Briquets;27/6/2025;10;20,0%;17,90 €;14,94 €
Chewing Gum;27/6/2025;5;20,0%;9,00 €;7,50 €
Cigarettes Electroniques;27/6/2025;7;20,0%;33,60 €;28,00 €
Confiserie 20%;27/6/2025;3;20,0%;3,90 €;3,25 €
Confiserie 5,5%;27/6/2025;3;5,5%;6,00 €;5,69 €
